iter	Passed	Remaining
1174	19564	13736
1175	19579	13719
1176	19594	13701
1177	19609	13683
1178	19625	13666
1179	19640	13648
1180	19655	13630
1181	19670	13612
1182	19684	13594
1183	19699	13576
1184	19713	13558
1185	19729	13540
1186	19746	13524
1187	19762	13508
1188	19777	13490
1189	19792	13472
1190	19809	13455
1191	19825	13438
1192	19840	13421
1193	19857	13404
1194	19873	13387
1195	19889	13370
1196	19905	13353
1197	19921	13336
1198	19936	13318
1199	19951	13301
1200	19968	13284
1201	19983	13267
1202	19998	13249
1203	20013	13231
1204	20029	13214
1205	20046	13198
1206	20064	13182
1207	20080	13165
1208	20098	13149
1209	20115	13133
1210	20133	13117
1211	20152	13102
1212	20170	13086
1213	20187	13070
1214	20205	13054
1215	20236	13047
1216	20257	13033
1217	20273	13016
1218	20289	12998
1219	20305	12981
1220	20320	12964
1221	20338	12948
1222	20354	12931
1223	20370	12914
1224	20385	12897
1225	20401	12880
1226	20417	12862
1227	20433	12845
1228	20448	12828
1229	20464	12811
1230	20479	12793
1231	20494	12775
1232	20509	12758
1233	20528	12742
1234	20545	12726
1235	20562	12710
1236	20583	12695
1237	20601	12680
1238	20624	12667
1239	20642	12651
1240	20661	12636
1241	20678	12620
1242	20693	12602
1243	20711	12586
1244	20728	12570
1245	20745	12553
1246	20762	12537
1247	20779	12521
1248	20798	12505
1249	20815	12489
1250	20831	12472
1251	20848	12455
1252	20864	12438
1253	20883	12423
1254	20899	12406
1255	20915	12389
1256	20930	12372
1257	20947	12355
1258	20964	12338
1259	20983	12323
1260	21001	12307
1261	21022	12293
1262	21044	12279
1263	21063	12264
1264	21080	12248
1265	21100	12233
1266	21116	12216
1267	21135	12201
1268	21152	12184
1269	21169	12168
1270	21185	12151
1271	21204	12136
1272	21225	12121
1273	21242	12105
1274	21260	12089
1275	21276	12072
1276	21315	12068
1277	21355	12064
1278	21384	12055
1279	21413	12045
1280	21432	12029
1281	21451	12014
1282	21496	12013
1283	21558	12021
1284	21587	12011
1285	21612	11999
1286	21640	11988
1287	21665	11976
1288	21689	11963
1289	21714	11951
1290	21734	11936
1291	21755	11921
1292	21773	11905
1293	21792	11889
1294	21810	11873
1295	21828	11857
1296	21846	11841
1297	21864	11824
1298	21881	11808
1299	21900	11792
1300	21918	11776
1301	21939	11761
1302	21957	11745
1303	21977	11730
1304	21995	11713
1305	22011	11696
1306	22029	11680
1307	22048	11664
1308	22066	11648
1309	22083	11631
1310	22101	11615
1311	22120	11599
1312	22139	11584
1313	22155	11566
1314	22173	11550
1315	22191	11534
1316	22207	11516
1317	22223	11499
1318	22237	11481
1319	22253	11464
1320	22270	11446
1321	22287	11430
1322	22302	11412
1323	22318	11395
1324	22335	11378
1325	22351	11361
1326	22367	11343
1327	22384	11326
1328	22399	11309
1329	22414	11291
1330	22430	11274
1331	22447	11257
1332	22464	11240
1333	22480	11223
1334	22495	11205
1335	22510	11187
1336	22527	11170
1337	22542	11153
1338	22557	11135
1339	22572	11117
1340	22589	11100
1341	22605	11083
1342	22622	11066
1343	22637	11049
1344	22653	11031
1345	22670	11015
1346	22687	10998
1347	22702	10980
1348	22721	10965
1349	22737	10947
1350	22753	10930
1351	22769	10913
1352	22784	10895
1353	22799	10877
1354	22815	10860
1355	22831	10843
1356	22846	10825
1357	22862	10808
1358	22878	10791
1359	22894	10773
1360	22909	10756
1361	22925	10738
1362	22941	10721
1363	22956	10703
1364	22971	10686
1365	22987	10668
1366	23002	10651
1367	23017	10633
1368	23032	10616
1369	23047	10598
1370	23063	10581
1371	23079	10564
1372	23095	10546
1373	23111	10529
1374	23128	10512
1375	23142	10495
1376	23159	10477
1377	23177	10461
1378	23194	10445
1379	23212	10428
1380	23230	10412
1381	23249	10396
1382	23266	10379
1383	23283	10362
1384	23300	10346
1385	23317	10329
1386	23334	10312
1387	23351	10296
1388	23368	10279
1389	23384	10262
1390	23402	10245
1391	23419	10229
1392	23436	10212
1393	23452	10195
1394	23467	10177
1395	23483	10160
1396	23500	10143
1397	23517	10126
1398	23533	10109
1399	23548	10092
1400	23564	10074
1401	23580	10057
1402	23598	10041
1403	23615	10025
1404	23634	10008
1405	23651	9992
1406	23669	9975
1407	23685	9958
1408	23703	9942
1409	23721	9925
1410	23738	9909
1411	23755	9892
1412	23772	9875
1413	23789	9859
1414	23808	9843
1415	23826	9826
1416	23843	9810
1417	23860	9793
1418	23879	9777
1419	23897	9760
1420	23916	9744
1421	23934	9728
1422	23950	9711
1423	23966	9694
1424	23982	9677
1425	23997	9659
1426	24015	9643
1427	24031	9626
1428	24048	9609
1429	24064	9592
1430	24079	9574
1431	24094	9557
1432	24109	9539
1433	24124	9522
1434	24139	9504
1435	24154	9486
1436	24168	9469
1437	24183	9451
1438	24197	9433
1439	24211	9415
1440	24226	9398
1441	24241	9380
1442	24255	9362
1443	24269	9344
1444	24284	9327
1445	24299	9309
1446	24314	9292
1447	24329	9274
1448	24343	9256
1449	24358	9239
1450	24372	9221
1451	24387	9204
1452	24402	9186
1453	24416	9168
1454	24431	9151
1455	24445	9133
1456	24461	9116
1457	24476	9098
1458	24489	9080
1459	24503	9063
1460	24518	9045
1461	24532	9027
1462	24547	9010
1463	24561	8992
1464	24575	8974
1465	24589	8956
1466	24604	8939
1467	24619	8922
1468	24634	8904
1469	24649	8887
1470	24663	8869
1471	24678	8851
1472	24693	8834
1473	24711	8818
1474	24726	8800
1475	24742	8783
1476	24758	8767
1477	24774	8749
1478	24789	8732
1479	24807	8716
1480	24823	8699
1481	24840	8682
1482	24855	8665
1483	24871	8647
1484	24886	8630
1485	24901	8613
1486	24917	8596
1487	24933	8579
1488	24950	8562
1489	24965	8545
1490	24981	8528
1491	24997	8511
1492	25013	8494
1493	25028	8476
1494	25044	8459
1495	25060	8442
1496	25076	8425
1497	25101	8411
1498	25116	8394
1499	25132	8377
1500	25153	8362
1501	25167	8344
1502	25180	8326
1503	25194	8308
1504	25208	8291
1505	25223	8273
1506	25237	8256
1507	25252	8238
1508	25268	8221
1509	25282	8204
1510	25296	8186
1511	25311	8169
1512	25325	8151
1513	25339	8134
1514	25353	8116
1515	25368	8099
1516	25383	8082
1517	25399	8064
1518	25413	8047
1519	25428	8029
1520	25442	8012
1521	25457	7995
1522	25472	7977
1523	25488	7961
1524	25504	7944
1525	25519	7926
1526	25535	7909
1527	25551	7892
1528	25567	7875
1529	25583	7858
1530	25599	7842
1531	25614	7824
1532	25631	7808
1533	25647	7791
1534	25664	7774
1535	25680	7757
1536	25697	7741
1537	25713	7724
1538	25729	7707
1539	25745	7690
1540	25760	7673
